										
	Freq	Corr freq	Error	Voltage	Error	Resistance	Error	Current	Magnetic Field	g factor
	7.50E+04	7.50E+07	1.00E+01	1.4	0.2	1.6	0.1	0.875	3.50E-03	1.53327
	7.50E+04	7.50E+07	1.00E+01	1.5	0.2	1.6	0.1	0.938	3.75E-03	1.43105
	7.50E+04	7.50E+07	1.00E+01	2.6	0.2	1.6	0.1	1.625	6.49E-03	0.82561
	7.50E+04	7.50E+07	1.00E+01	2.9	0.2	1.6	0.1	1.813	7.24E-03	0.74020
	8.00E+04	8.00E+07	1.00E+01	1.5	0.1	1.5	0.1	1.000	4.00E-03	1.43055
	8.00E+04	8.00E+07	1.00E+01	1.5	0.1	1.5	0.1	1.000	4.00E-03	1.43055
	8.00E+04	8.00E+07	1.00E+01	1.5	0.1	1.5	0.1	1.000	4.00E-03	1.43055
	8.00E+04	8.00E+07	1.00E+01	2.8	0.1	1.5	0.1	1.867	7.46E-03	0.76637
	8.49E+04	8.49E+07	1.00E+01	1.15	0.1	1.5	0.1	0.767	3.06E-03	1.98072
	8.49E+04	8.49E+07	1.00E+01	1.05	0.1	1.5	0.1	0.700	2.80E-03	2.16936
	8.49E+04	8.49E+07	1.00E+01	2	0.1	1.5	0.1	1.333	5.33E-03	1.13891
	8.49E+04	8.49E+07	1.00E+01	2	0.1	1.5	0.1	1.333	5.33E-03	1.13891
	9.03E+04	9.03E+07	1.00E+01	2.15	0.1	1.5	0.1	1.433	5.73E-03	1.12688
	9.03E+04	9.03E+07	1.00E+01	2	0.1	1.5	0.1	1.333	5.33E-03	1.21140
	9.03E+04	9.03E+07	1.00E+01	1.25	0.1	1.5	0.1	0.833	3.33E-03	1.93824
	9.03E+04	9.03E+07	1.00E+01	1.2	0.1	1.5	0.1	0.800	3.20E-03	2.01900
	9.49E+04	9.49E+07	1.00E+01	1.4	0.1	1.6	0.1	0.875	3.50E-03	1.93985
	9.49E+04	9.49E+07	1.00E+01	1.4	0.1	1.6	0.1	0.875	3.50E-03	1.93985
	9.49E+04	9.49E+07	1.00E+01	2.1	0.1	1.6	0.1	1.313	5.25E-03	1.29323
	9.49E+04	9.49E+07	1.00E+01	2.1	0.1	1.6	0.1	1.313	5.25E-03	1.29323
	1.00E+05	1.00E+08	1.00E+01	2.2	0.1	1.6	0.1	1.375	5.49E-03	1.30194
	1.00E+05	1.00E+08	1.00E+01	2.15	0.1	1.6	0.1	1.344	5.37E-03	1.33222
	1.00E+05	1.00E+08	1.00E+01	1.5	0.1	1.6	0.1	0.938	3.75E-03	1.90952
	1.00E+05	1.00E+08	1.00E+01	1.45	0.1	1.6	0.1	0.906	3.62E-03	1.97536
	1.05E+05	1.05E+08	1.00E+01	1.5	0.1	1.6	0.1	0.938	3.75E-03	1.99939
	1.05E+05	1.05E+08	1.00E+01	1.5	0.1	1.6	0.1	0.938	3.75E-03	1.99939
	1.05E+05	1.05E+08	1.00E+01	2.3	0.1	1.6	0.1	1.438	5.74E-03	1.30395
	1.05E+05	1.05E+08	1.00E+01	2.3	0.1	1.6	0.1	1.438	5.74E-03	1.30395
	1.10E+05	1.10E+08	1.00E+01	2.35	0.1	1.5	0.1	1.567	6.26E-03	1.25952
	1.10E+05	1.10E+08	1.00E+01	1.6	0.1	1.5	0.1	1.067	4.26E-03	1.84992
	1.15E+05	1.15E+08	1.00E+01	1.65	0.1	1.6	0.1	1.031	4.12E-03	1.99498
	1.15E+05	1.15E+08	1.00E+01	2.4	0.1	1.6	0.1	1.500	5.99E-03	1.37155
	1.20E+05	1.20E+08	1.00E+01	2.35	0.1	1.6	0.1	1.469	5.87E-03	1.46410
	1.20E+05	1.20E+08	1.00E+01	1.5	0.1	1.6	0.1	0.938	3.75E-03	2.29376
	1.25E+05	1.25E+08	1.00E+01	1.6	0.1	1.6	0.1	1.000	4.00E-03	2.23795
	1.25E+05	1.25E+08	1.00E+01	2.4	0.1	1.6	0.1	1.500	5.99E-03	1.49197
										
										
									AVG GFACTOR	
									1.55187	